Component,Qty,Level
Chocolate Praline,100,1
Dark Chocolate 55% Cocoa,55,2
Cocoa Liquor,22,3
Cocoa Butter,5.5,3
Sugar,24.2,3
Refined Cane Sugar,24.19725,4
Anti-Caking Agent,0.00275,4
Alkalised Cocoa Powder,2.75,3
Cocoa Powder,2.73625,4
Potassium Carbonate,0.01375,4
Emulsifier Mix,0.275,3
Soy Lecithin,0.165,4
Sunflower Lecithin,0.11,4
Flavouring,0.275,3
Vanillin,0.00275,4
Carrier,0.2695,4
Preservative,0.00275,4
Hazelnut Filling,43.5,2
Hazelnut Paste,12.56666667,3
Sugar,17.4,3
Refined Palm Oil,8.7,3
Palm Oil,8.6997825,4
Antioxidant,0.0002175,4
Caramelised Roasted Hazelnut Pieces,4.833333333,3
Roasted Diced Hazelnut Pieces,2.9,4
Sugar,1.933333333,4
Refined Cane Sugar,1.933113636,5
Anti-Caking Agent,0.000219697,5
Freeze-dried Raspberry Pieces,1.5,2
